datetime,AVG_TMP
2015-01-01,32.4
2015-01-02,35.04
2015-01-03,33.38
2015-01-04,39.78
2015-01-05,42.62
2015-01-06,42.68
2015-01-07,41.3
2015-01-08,36.28
2015-01-09,36.25
2015-01-10,40.5
2015-01-11,40.33
2015-01-12,43.56
2015-01-13,44.27
2015-01-14,39.92
2015-01-15,38.78
2015-01-16,47.35
2015-01-17,47.25
2015-01-18,46.42
2015-01-19,39.11
2015-01-20,35.14
2015-01-21,36.24
2015-01-22,42.32
2015-01-23,45.23
2015-01-24,45.22
2015-01-25,44.14
2015-01-26,39.7
2015-01-27,41.72
2015-01-28,43.5
2015-01-29,46.36
2015-01-30,42.94
2015-01-31,42.3
2015-02-01,40.04
2015-02-02,46.32
2015-02-03,50.84
2015-02-04,50.47
2015-02-05,49.26
2015-02-06,50.22
2015-02-07,54.06
2015-02-08,52.1
2015-02-09,49.03
2015-02-10,42.4
2015-02-11,46.86
2015-02-12,44.92
2015-02-13,44.79
2015-02-14,47.42
2015-02-15,48.02
2015-02-16,48.26
2015-02-17,51.04
2015-02-18,48.62
2015-02-19,47.77
2015-02-20,46.12
2015-02-21,45.84
2015-02-22,44.5
2015-02-23,42.42
2015-02-24,43.04
2015-02-25,42.84
2015-02-26,42.32
2015-02-27,47.78
2015-02-28,43.91
2015-03-01,41.65
2015-03-02,46.69
2015-03-03,45.06
2015-03-04,46.1
2015-03-05,48.26
2015-03-06,49.89
2015-03-07,51.95
2015-03-08,53.12
2015-03-09,53.64
2015-03-10,46.99
2015-03-11,53.49
2015-03-12,54.8
2015-03-13,54.9
2015-03-14,57.36
2015-03-15,55.18
2015-03-16,53.23
2015-03-17,53.28
2015-03-18,50.9
2015-03-19,53.4
2015-03-20,51.18
2015-03-21,53.32
2015-03-22,48.72
2015-03-23,45.28
2015-03-24,48.8
2015-03-25,54.4
2015-03-26,58.38
2015-03-27,59.86
2015-03-28,51.08
2015-03-29,53.88
2015-03-30,57.2
2015-03-31,47.4
2015-04-01,45.6
2015-04-02,46.38
2015-04-03,45.38
2015-04-04,48.74
2015-04-05,46.36
2015-04-06,43.55
2015-04-07,42.28
2015-04-08,47.02
2015-04-09,48.9
2015-04-10,50.94
2015-04-11,47.58
2015-04-12,52.59
2015-04-13,50.86
2015-04-14,44.24
2015-04-15,48.46
2015-04-16,55.79
2015-04-17,59.46
2015-04-18,59.2
2015-04-19,61.3
2015-04-20,60.88
2015-04-21,58.07
2015-04-22,54.98
2015-04-23,45.53
2015-04-24,46.04
2015-04-25,52.67
2015-04-26,52.36
2015-04-27,63.18
2015-04-28,61.04
2015-04-29,55.86
2015-04-30,56.11
2015-05-01,62.45
2015-05-02,61.75
2015-05-03,59.9
2015-05-04,60.48
2015-05-05,55.72
2015-05-06,50.4
2015-05-07,53.42
2015-05-08,59.07
2015-05-09,61.9
2015-05-10,60.72
2015-05-11,52.69
2015-05-12,51.09
2015-05-13,52.14
2015-05-14,54.54
2015-05-15,56.26
2015-05-16,57.06
2015-05-17,58.12
2015-05-18,61.57
2015-05-19,63.33
2015-05-20,61.11
2015-05-21,62.84
2015-05-22,59.92
2015-05-23,57.18
2015-05-24,58.26
2015-05-25,65.62
2015-05-26,61.44
2015-05-27,65.09
2015-05-28,67.6
2015-05-29,71.68
2015-05-30,73.03
2015-05-31,71.53
2015-06-01,56.48
2015-06-02,62.01
2015-06-03,60.72
2015-06-04,65.86
2015-06-05,67.68
2015-06-06,72.19
2015-06-07,75.69
2015-06-08,81.46
2015-06-09,81.26
2015-06-10,73.4
2015-06-11,68.72
2015-06-12,70.9
2015-06-13,66.94
2015-06-14,67.72
2015-06-15,69.5
2015-06-16,68.83
2015-06-17,70.26
2015-06-18,72.6
2015-06-19,65.85
2015-06-20,70.15
2015-06-21,71.46
2015-06-22,68.46
2015-06-23,69.0
2015-06-24,70.66
2015-06-25,76.23
2015-06-26,81.91
2015-06-27,85.01
2015-06-28,85.34
2015-06-29,79.75
2015-06-30,80.72
2015-07-01,83.56
2015-07-02,85.85
2015-07-03,82.26
2015-07-04,85.16
2015-07-05,82.48
2015-07-06,80.12
2015-07-07,79.68
2015-07-08,68.82
2015-07-09,74.62
2015-07-10,71.19
2015-07-11,69.6
2015-07-12,69.16
2015-07-13,71.8
2015-07-14,72.29
2015-07-15,72.64
2015-07-16,70.22
2015-07-17,70.6
2015-07-18,74.96
2015-07-19,78.85
2015-07-20,78.66
2015-07-21,77.69
2015-07-22,69.69
2015-07-23,70.06
2015-07-24,72.76
2015-07-25,71.7
2015-07-26,69.89
2015-07-27,66.75
2015-07-28,71.54
2015-07-29,77.18
2015-07-30,81.41
2015-07-31,84.02
2015-08-01,83.82
2015-08-02,73.37
2015-08-03,77.23
2015-08-04,75.36
2015-08-05,73.46
2015-08-06,69.28
2015-08-07,71.05
2015-08-08,71.48
2015-08-09,70.69
2015-08-10,69.07
2015-08-11,74.12
2015-08-12,77.9
2015-08-13,72.49
2015-08-14,66.04
2015-08-15,69.72
2015-08-16,69.48
2015-08-17,73.73
2015-08-18,77.16
2015-08-19,78.56
2015-08-20,74.86
2015-08-21,72.08
2015-08-22,73.45
2015-08-23,74.5
2015-08-24,74.26
2015-08-25,72.86
2015-08-26,71.64
2015-08-27,72.22
2015-08-28,73.05
2015-08-29,68.54
2015-08-30,65.25
2015-08-31,65.78
2015-09-01,67.44
2015-09-02,62.38
2015-09-03,58.55
2015-09-04,54.85
2015-09-05,55.69
2015-09-06,60.34
2015-09-07,65.3
2015-09-08,70.18
2015-09-09,72.39
2015-09-10,76.43
2015-09-11,76.32
2015-09-12,77.71
2015-09-13,74.1
2015-09-14,61.14
2015-09-15,51.98
2015-09-16,53.14
2015-09-17,60.29
2015-09-18,58.64
2015-09-19,63.91
2015-09-20,67.76
2015-09-21,67.64
2015-09-22,64.39
2015-09-23,62.55
2015-09-24,67.14
2015-09-25,66.76
2015-09-26,61.65
2015-09-27,63.71
2015-09-28,65.79
2015-09-29,66.1
2015-09-30,60.48
2015-10-01,63.86
2015-10-02,62.41
2015-10-03,58.35
2015-10-04,61.74
2015-10-05,65.95
2015-10-06,65.92
2015-10-07,64.38
2015-10-08,69.76
2015-10-09,67.49
2015-10-10,64.69
2015-10-11,59.68
2015-10-12,61.53
2015-10-13,64.09
2015-10-14,64.9
2015-10-15,67.43
2015-10-16,69.93
2015-10-17,59.9
2015-10-18,58.89
2015-10-19,53.5
2015-10-20,57.55
2015-10-21,56.18
2015-10-22,56.4
2015-10-23,47.96
2015-10-24,54.46
2015-10-25,51.17
2015-10-26,50.72
2015-10-27,47.28
2015-10-28,55.64
2015-10-29,54.16
2015-10-30,53.32
2015-10-31,60.39
2015-11-01,56.06
2015-11-02,49.94
2015-11-03,47.28
2015-11-04,43.82
2015-11-05,43.95
2015-11-06,44.78
2015-11-07,43.28
2015-11-08,46.97
2015-11-09,42.1
2015-11-10,40.28
2015-11-11,36.94
2015-11-12,45.2
2015-11-13,43.98
2015-11-14,46.16
2015-11-15,41.29
2015-11-16,38.38
2015-11-17,42.74
2015-11-18,49.3
2015-11-19,47.89
2015-11-20,50.68
2015-11-21,45.48
2015-11-22,41.68
2015-11-23,41.66
2015-11-24,37.86
2015-11-25,38.25
2015-11-26,34.86
2015-11-27,36.64
2015-11-28,34.72
2015-11-29,33.19
2015-11-30,30.9
2015-12-01,35.0
2015-12-02,48.87
2015-12-03,50.55
2015-12-04,42.24
2015-12-05,44.78
2015-12-06,47.52
2015-12-07,50.3
2015-12-08,53.27
2015-12-09,55.08
2015-12-10,45.1
2015-12-11,38.2
2015-12-12,44.05
2015-12-13,37.86
2015-12-14,36.93
2015-12-15,34.96
2015-12-16,36.41
2015-12-17,43.01
2015-12-18,44.97
2015-12-19,38.62
2015-12-20,37.35
2015-12-21,44.72
2015-12-22,41.99
2015-12-23,39.08
2015-12-24,35.96
2015-12-25,37.3
2015-12-26,35.71
2015-12-27,35.51
2015-12-28,37.46
2015-12-29,37.98
2015-12-30,35.34
2015-12-31,34.02
2016-01-01,34.59
2016-01-02,31.34
2016-01-03,36.24
2016-01-04,40.46
2016-01-05,44.68
2016-01-06,42.03
2016-01-07,38.14
2016-01-08,37.04
2016-01-09,39.16
2016-01-10,42.08
2016-01-11,47.64
2016-01-12,48.85
2016-01-13,41.34
2016-01-14,35.84
2016-01-15,36.92
2016-01-16,42.46
2016-01-17,41.36
2016-01-18,40.07
2016-01-19,44.97
2016-01-20,36.47
2016-01-21,52.45
2016-01-22,48.58
2016-01-23,44.28
2016-01-24,41.98
2016-01-25,44.5
2016-01-26,46.29
2016-01-27,49.7
2016-01-28,49.82
