datetime,OBM
2023-07-01,68.12
2023-07-02,70.94
2023-07-03,70.44
2023-07-04,75.16
2023-07-05,78.27
2023-07-06,69.48
2023-07-07,64.02
2023-07-08,62.73
2023-07-09,63.94
2023-07-10,62.24
2023-07-11,65.86
2023-07-12,68.47
2023-07-13,69.76
2023-07-14,75.28
2023-07-15,78.03
2023-07-16,72.52
2023-07-17,65.42
2023-07-18,72.04
2023-07-19,71.72
2023-07-20,68.72
2023-07-21,70.12
2023-07-22,71.39
2023-07-23,70.34
2023-07-24,64.64
2023-07-25,70.66
2023-07-26,71.1
2023-07-27,65.92
2023-07-28,66.18
2023-07-29,66.09
2023-07-30,65.63
2023-07-31,65.82
2023-08-01,70.15
2023-08-02,70.05
2023-08-03,68.84
2023-08-04,71.81
2023-08-05,70.6
2023-08-06,72.8
2023-08-07,73.86
2023-08-08,70.6
2023-08-09,68.8
2023-08-10,70.72
2023-08-11,71.24
2023-08-12,73.87
2023-08-13,81.72
2023-08-14,86.43
2023-08-15,83.2
2023-08-16,81.62
2023-08-17,79.26
2023-08-18,69.41
2023-08-19,68.3
2023-08-20,68.82
2023-08-21,66.24
2023-08-22,61.21
2023-08-23,62.72
2023-08-24,70.68
2023-08-25,76.17
2023-08-26,69.68
2023-08-27,65.62
2023-08-28,62.73
2023-08-29,68.38
2023-08-30,69.82
2023-08-31,60.11
2023-09-01,69.72
2023-09-02,71.23
2023-09-03,65.98
2023-09-04,60.54
2023-09-05,61.93
2023-09-06,62.16
2023-09-07,65.69
2023-09-08,64.18
2023-09-09,67.64
2023-09-10,66.11
2023-09-11,64.22
2023-09-12,64.34
2023-09-13,68.05
2023-09-14,69.72
2023-09-15,69.86
2023-09-16,66.58
2023-09-17,60.14
2023-09-18,63.55
2023-09-19,59.5
2023-09-20,59.37
2023-09-21,57.71
2023-09-22,58.96
2023-09-23,59.36
2023-09-24,55.31
2023-09-25,60.32
2023-09-26,60.7
2023-09-27,59.68
2023-09-28,58.1
2023-09-29,58.48
2023-09-30,57.94
2023-10-01,55.4
2023-10-02,53.03
2023-10-03,61.94
2023-10-04,59.88
2023-10-05,64.59
2023-10-06,75.24
2023-10-07,66.68
2023-10-08,62.1
