Crop,Group,Field Count
Grassland/Pasture,Pasture/Range,1815
Shrubland,Rangeland,592
Winter Wheat,Grain,474
Fallow/Idle Cropland,Fallow,414
Cherries,Tree Fruit,373
Other Hay/Non Alfalfa,Hay/Forage,27
Alfalfa,Hay/Forage,27
Barley,Grain,27
Triticale,Grain,26
Peaches,Tree Fruit,19
Evergreen Forest,Forest,13
Pears,Tree Fruit,10
Grapes,Vineyard,9
Other Crops,Other Crop,7
Spring Wheat,Grain,7
Sod/Grass Seed,Hay/Forage,6
Canola,Row Crop,6
Apples,Tree Fruit,5
Peas,Row Crop,4
Open Water,Water,3
Corn,Row Crop,2
Nectarines,Tree Fruit,2
Herbaceous Wetlands,Wetland,2
Apricots,Tree Fruit,2
Developed/Open Space,Developed,2
Developed/Low Intensity,Developed,2
Blueberries,Berry,1
Developed/Med Intensity,Developed,1
Clover/Wildflowers,Hay/Forage,1
