Crop,Group,Field Count
Grassland/Pasture,Pasture/Range,4338
Sod/Grass Seed,Hay/Forage,1644
Other Tree Crops,Tree Crop,628
Other Hay/Non Alfalfa,Hay/Forage,329
Winter Wheat,Grain,140
Developed/Low Intensity,Developed,132
Developed/Open Space,Developed,122
Clover/Wildflowers,Hay/Forage,116
Evergreen Forest,Forest,87
Grapes,Vineyard,63
Developed/Med Intensity,Developed,61
Corn,Row Crop,53
Blueberries,Berry,26
Shrubland,Rangeland,16
Alfalfa,Hay/Forage,14
Developed/High Intensity,Developed,13
Cherries,Tree Fruit,12
Fallow/Idle Cropland,Fallow,11
Open Water,Water,11
Spring Wheat,Grain,10
Barley,Grain,7
Other Crops,Other Crop,7
Peas,Row Crop,5
Radishes,Vegetable,5
Dry Beans,Row Crop,4
Vetch,Hay/Forage,4
Hops,Specialty,3
Mixed Forest,Forest,3
Oats,Grain,3
Sugarbeets,Row Crop,1
Herbs,Specialty,1
Mint,Specialty,1
Herbaceous Wetlands,Wetland,1
Cauliflower,Vegetable,1
Buckwheat,Grain,1
Woody Wetlands,Wetland,1
