datetime,AVG_TMP
2015-01-01,31.74
2015-01-02,32.14
2015-01-03,40.02
2015-01-04,44.7
2015-01-05,47.5
2015-01-06,42.32
2015-01-07,39.77
2015-01-08,39.35
2015-01-09,39.9
2015-01-10,40.02
2015-01-11,44.58
2015-01-12,47.25
2015-01-13,43.0
2015-01-14,37.4
2015-01-15,39.36
2015-01-16,47.83
2015-01-17,49.27
2015-01-18,50.87
2015-01-19,47.34
2015-01-20,40.43
2015-01-21,39.34
2015-01-22,44.64
2015-01-23,46.24
2015-01-24,51.92
2015-01-25,45.07
2015-01-26,44.14
2015-01-27,46.4
2015-01-28,49.3
2015-01-29,46.96
2015-01-30,43.55
2015-01-31,38.72
2015-02-01,43.7
2015-02-02,50.55
2015-02-03,46.47
2015-02-04,47.82
2015-02-05,51.46
2015-02-06,53.04
2015-02-07,51.57
2015-02-08,53.66
2015-02-09,50.64
2015-02-10,50.93
2015-02-11,46.04
2015-02-12,48.86
2015-02-13,43.94
2015-02-14,50.01
2015-02-15,51.47
2015-02-16,55.64
2015-02-17,50.74
2015-02-18,47.28
2015-02-19,49.72
2015-02-20,48.2
2015-02-21,49.28
2015-02-22,46.2
2015-02-23,44.36
2015-02-24,43.0
2015-02-25,42.03
2015-02-26,49.22
2015-02-27,47.42
2015-02-28,45.42
2015-03-01,42.82
2015-03-02,45.18
2015-03-03,41.64
2015-03-04,41.33
2015-03-05,44.09
2015-03-06,47.18
2015-03-07,48.64
2015-03-08,49.24
2015-03-09,50.42
2015-03-10,47.61
2015-03-11,53.27
2015-03-12,55.72
2015-03-13,53.36
2015-03-14,54.78
2015-03-15,51.42
2015-03-16,48.22
2015-03-17,48.07
2015-03-18,50.0
2015-03-19,52.06
2015-03-20,51.12
2015-03-21,53.12
2015-03-22,50.87
2015-03-23,49.11
2015-03-24,50.44
2015-03-25,55.92
2015-03-26,55.61
2015-03-27,55.67
2015-03-28,53.85
2015-03-29,52.05
2015-03-30,53.24
2015-03-31,48.29
2015-04-01,45.61
2015-04-02,47.6
2015-04-03,41.74
2015-04-04,46.12
2015-04-05,44.04
2015-04-06,46.02
2015-04-07,48.94
2015-04-08,50.77
2015-04-09,51.44
2015-04-10,48.4
2015-04-11,47.22
2015-04-12,46.23
2015-04-13,46.04
2015-04-14,43.07
2015-04-15,44.45
2015-04-16,52.02
2015-04-17,54.57
2015-04-18,57.18
2015-04-19,58.5
2015-04-20,57.14
2015-04-21,52.24
2015-04-22,46.8
2015-04-23,44.88
2015-04-24,50.11
2015-04-25,49.5
2015-04-26,47.8
2015-04-27,60.45
2015-04-28,54.79
2015-04-29,48.92
2015-04-30,52.66
2015-05-01,58.21
2015-05-02,55.15
2015-05-03,55.52
2015-05-04,50.8
2015-05-05,50.91
2015-05-06,49.69
2015-05-07,52.54
2015-05-08,60.1
2015-05-09,61.16
2015-05-10,58.08
2015-05-11,53.07
2015-05-12,51.78
2015-05-13,55.64
2015-05-14,56.4
2015-05-15,53.34
2015-05-16,56.54
2015-05-17,59.0
2015-05-18,58.71
2015-05-19,55.86
2015-05-20,61.97
2015-05-21,64.17
2015-05-22,57.89
2015-05-23,56.76
2015-05-24,59.14
2015-05-25,58.56
2015-05-26,56.43
2015-05-27,61.42
2015-05-28,64.66
2015-05-29,63.92
2015-05-30,61.86
2015-05-31,66.82
2015-06-01,56.69
2015-06-02,58.11
2015-06-03,58.68
2015-06-04,60.51
2015-06-05,67.53
2015-06-06,71.46
2015-06-07,71.74
2015-06-08,75.66
2015-06-09,72.76
2015-06-10,61.38
2015-06-11,62.42
2015-06-12,60.04
2015-06-13,59.08
2015-06-14,63.84
2015-06-15,61.71
2015-06-16,61.0
2015-06-17,63.37
2015-06-18,66.52
2015-06-19,62.76
2015-06-20,67.97
2015-06-21,65.64
2015-06-22,61.37
2015-06-23,63.62
2015-06-24,68.69
2015-06-25,71.55
2015-06-26,78.96
2015-06-27,80.78
2015-06-28,72.04
2015-06-29,72.54
2015-06-30,74.23
2015-07-01,78.39
2015-07-02,77.5
2015-07-03,76.8
2015-07-04,73.1
2015-07-05,72.55
2015-07-06,71.17
2015-07-07,69.64
2015-07-08,70.66
2015-07-09,66.9
2015-07-10,67.28
2015-07-11,65.17
2015-07-12,69.03
2015-07-13,68.28
2015-07-14,69.06
2015-07-15,67.03
2015-07-16,65.31
2015-07-17,68.44
2015-07-18,79.6
2015-07-19,74.74
2015-07-20,70.41
2015-07-21,66.02
2015-07-22,61.99
2015-07-23,67.14
2015-07-24,65.76
2015-07-25,64.38
2015-07-26,59.75
2015-07-27,64.1
2015-07-28,69.96
2015-07-29,80.23
2015-07-30,82.94
2015-07-31,78.65
2015-08-01,79.33
2015-08-02,71.04
2015-08-03,73.46
2015-08-04,69.44
2015-08-05,65.06
2015-08-06,66.41
2015-08-07,70.4
2015-08-08,65.99
