date,max_temp_f,min_temp_f,cum_precip_in,solar_langley,wind_speed_mph,daily_precip_in,location
2024-01-01,41.49,38.5,48.57,37.4,0.0,0.0,Corvallis
2024-01-02,43.63,34.31,48.68,42.42,0.0,0.11,Corvallis
2024-01-03,50.54,36.28,48.79,63.69,0.0,0.11,Corvallis
2024-01-04,51.79,33.6,48.99,75.77,0.0,0.2,Corvallis
2024-01-05,49.78,31.15,49.02,106.25,0.0,0.03,Corvallis
2024-01-06,45.48,34.56,49.76,76.96,0.0,0.74,Corvallis
2024-01-07,47.87,34.8,49.81,109.03,0.0,0.05,Corvallis
2024-01-08,48.29,38.3,0.22,34.59,0.0,0.22,Corvallis
2024-01-09,49.99,38.35,1.18,62.84,0.0,0.96,Corvallis
2024-01-10,43.2,35.97,1.37,63.09,0.0,0.19,Corvallis
2024-01-11,45.97,34.48,1.6,102.58,0.0,0.23,Corvallis
2024-01-12,43.86,26.59,1.73,38.28,0.0,0.13,Corvallis
2024-01-13,26.97,16.82,1.73,39.26,0.0,0.0,Corvallis
2024-01-14,24.95,16.44,1.73,66.56,0.0,0.0,Corvallis
2024-01-15,28.66,19.11,1.74,142.5,0.0,0.01,Corvallis
2024-01-16,29.74,15.78,1.74,84.51,0.0,0.0,Corvallis
2024-01-17,46.53,28.95,3.24,33.15,0.0,1.5,Corvallis
2024-01-18,44.03,34.27,3.88,25.16,0.0,0.64,Corvallis
2024-01-19,39.43,32.92,3.89,94.82,0.0,0.01,Corvallis
2024-01-20,38.32,31.85,4.03,45.31,0.0,0.14,Corvallis
2024-01-21,49.76,36.73,4.69,32.07,0.0,0.66,Corvallis
2024-01-22,54.04,46.74,5.27,68.97,0.0,0.58,Corvallis
2024-01-23,53.82,41.28,5.29,104.09,0.0,0.02,Corvallis
2024-01-24,56.93,40.33,5.94,93.51,0.0,0.65,Corvallis
2024-01-25,53.42,42.13,6.11,99.65,0.0,0.17,Corvallis
2024-01-26,51.82,42.05,6.5,24.51,0.0,0.39,Corvallis
2024-01-27,62.28,50.8,7.39,73.16,0.0,0.89,Corvallis
2024-01-28,65.62,47.53,7.55,134.6,0.0,0.16,Corvallis
2024-01-29,54.21,46.98,7.56,64.93,0.0,0.01,Corvallis
2024-01-30,56.99,49.18,7.59,87.99,0.0,0.03,Corvallis
2024-01-31,57.38,48.44,7.68,65.55,0.0,0.09,Corvallis
2024-02-01,59.91,43.3,7.68,164.98,0.0,0.0,Corvallis
2024-02-02,54.53,36.55,7.68,177.04,0.0,0.0,Corvallis
2024-02-03,54.97,30.84,7.69,227.0,0.0,0.01,Corvallis
2024-02-04,51.19,34.76,7.7,180.73,0.0,0.01,Corvallis
2024-02-05,48.51,42.67,8.03,73.34,0.0,0.33,Corvallis
2024-02-06,52.45,41.74,8.05,153.49,0.0,0.02,Corvallis
2024-02-07,50.19,40.61,8.11,148.02,0.0,0.06,Corvallis
2024-02-08,51.86,37.86,8.11,163.14,0.0,0.0,Corvallis
2024-02-09,46.44,38.91,8.24,87.5,0.0,0.13,Corvallis
2024-02-10,55.49,38.3,8.24,244.62,0.0,0.0,Corvallis
2024-02-11,57.72,39.76,8.24,211.67,0.0,0.0,Corvallis
2024-02-12,53.8,36.48,8.24,139.16,0.0,0.0,Corvallis
2024-02-13,44.77,35.6,8.25,108.08,0.0,0.01,Corvallis
2024-02-14,47.32,35.28,8.71,48.91,0.0,0.46,Corvallis
2024-02-15,51.17,39.34,9.66,90.34,0.0,0.95,Corvallis
2024-02-16,45.07,37.44,9.69,133.28,0.0,0.03,Corvallis
