

USBR Pacific Northwest Region
Hydromet/AgriMet Data Access

Although the US Bureau of Reclamation makes efforts to maintain the accuracy
of data found in the Hydromet system databases, the data is largely unverified
and should be considered preliminary and subject to change.  Data and services
are provided with the express understanding that the United States Government
makes no warranties, expressed or implied, concerning the accuracy, complete-
ness, usability or suitability for any particular purpose of the information
or data obtained by access to this computer system, and the United States
shall be under no liability whatsoever to any individual or group entity by
reason of any use made thereof. 

BEGIN DATA
DATE       TIME ,  COVM    OBM     ,  COVM    TU      ,  COVM    UI      ,  COVM    SQ      ,  COVM    PC      ,  COVM    SL      ,  COVM    ZA      ,  COVM    SW      ,  COVM    SV      
12/01/2024 00:00,      27.37 ,      79.18 ,    4941.00 ,    1676.00 ,       6.01 ,,      33.06 ,      37.47 ,      37.80 
12/01/2024 01:00,      25.61 ,      85.00 ,    4942.00 ,    1676.00 ,       6.01 ,,      33.06 ,      37.35 ,      37.79 
12/01/2024 02:00,      26.72 ,      84.70 ,    4943.00 ,    1676.00 ,       6.01 ,,      32.93 ,      37.34 ,      37.67 
12/01/2024 03:00,      28.03 ,      80.10 ,    4943.00 ,    1676.00 ,       6.01 ,,      32.93 ,      37.22 ,      37.67 
12/01/2024 04:00,      27.36 ,      86.10 ,    4944.00 ,    1676.00 ,       6.01 ,,      32.92 ,      37.22 ,      37.66 
12/01/2024 05:00,      26.97 ,      86.00 ,    4944.00 ,    1676.00 ,       6.01 ,,      32.91 ,      37.21 ,      37.54 
12/01/2024 06:00,      27.52 ,      84.50 ,    4944.00 ,    1676.00 ,       6.01 ,,      32.91 ,      37.20 ,      37.53 
12/01/2024 07:00,      28.18 ,      85.30 ,    4944.00 ,    1676.00 ,       6.01 ,,      32.91 ,      37.20 ,      37.53 
12/01/2024 08:00,      28.29 ,      83.30 ,    4945.00 ,    1676.00 ,       6.01 ,,      32.91 ,      37.20 ,      37.53 
12/01/2024 09:00,      29.39 ,      76.86 ,    4945.00 ,    1677.00 ,       6.01 ,,      32.91 ,      37.09 ,      37.53 
