date,max_temp_f,min_temp_f,cum_precip_in,solar_langley,wind_speed_mph,daily_precip_in,location
2019-01-01,37.56,25.82,12.91,107.58,0.0,0.0,Corvallis
2019-01-02,43.54,25.14,12.91,120.1,0.0,0.0,Corvallis
2019-01-03,53.69,40.49,12.93,48.08,0.0,0.02,Corvallis
2019-01-04,49.55,38.57,13.05,36.86,0.0,0.12,Corvallis
2019-01-05,48.96,38.09,13.11,38.61,0.0,0.06,Corvallis
2019-01-06,44.75,35.24,13.3,98.33,0.0,0.19,Corvallis
2019-01-07,45.35,30.62,13.31,124.28,0.0,0.01,Corvallis
2019-01-08,45.22,39.02,13.56,54.02,0.0,0.25,Corvallis
2019-01-09,52.22,37.37,13.94,83.81,0.0,0.38,Corvallis
2019-01-10,59.0,43.06,13.96,127.2,0.0,0.02,Corvallis
2019-01-11,52.69,38.09,13.96,150.98,0.0,0.0,Corvallis
2019-01-12,51.14,29.95,13.96,178.21,0.0,0.0,Corvallis
2019-01-13,51.58,28.49,13.96,200.97,0.0,0.0,Corvallis
2019-01-14,49.04,25.08,13.96,205.64,0.0,0.0,Corvallis
2019-01-15,43.76,34.58,13.96,124.63,0.0,0.0,Corvallis
2019-01-16,42.26,32.27,14.06,63.16,0.0,0.1,Corvallis
2019-01-17,50.93,36.82,14.43,85.57,0.0,0.37,Corvallis
2019-01-18,52.53,40.29,15.11,33.26,0.0,0.68,Corvallis
2019-01-19,54.15,45.45,15.18,97.71,0.0,0.07,Corvallis
2019-01-20,46.37,36.21,15.75,44.46,0.0,0.57,Corvallis
2019-01-21,47.66,34.81,15.76,112.54,0.0,0.01,Corvallis
2019-01-22,48.03,38.78,15.87,34.89,0.0,0.11,Corvallis
2019-01-23,55.0,37.83,16.09,122.12,0.0,0.22,Corvallis
2019-01-24,51.64,33.65,16.09,159.2,0.0,0.0,Corvallis
2019-01-25,51.54,33.4,16.09,214.64,0.0,0.0,Corvallis
2019-01-26,40.85,30.98,16.1,68.22,0.0,0.01,Corvallis
2019-01-27,40.61,36.64,16.1,50.0,0.0,0.0,Corvallis
2019-01-28,52.95,36.89,16.1,187.09,0.0,0.0,Corvallis
2019-01-29,52.53,30.05,16.1,234.1,0.0,0.0,Corvallis
2019-01-30,51.7,27.4,16.11,239.48,0.0,0.01,Corvallis
2019-01-31,48.8,27.93,16.11,137.86,0.0,0.0,Corvallis
2019-02-01,50.7,36.96,16.28,65.71,0.0,0.17,Corvallis
2019-02-02,50.75,38.69,16.32,93.88,0.0,0.04,Corvallis
2019-02-03,45.58,35.6,16.62,117.23,0.0,0.3,Corvallis
2019-02-04,42.42,30.72,16.67,182.37,0.0,0.05,Corvallis
2019-02-05,37.58,28.19,16.84,77.05,0.0,0.17,Corvallis
2019-02-06,36.9,26.31,16.84,80.08,0.0,0.0,Corvallis
2019-02-07,37.8,25.84,16.85,195.44,0.0,0.01,Corvallis
2019-02-08,40.43,28.57,17.03,133.48,0.0,0.18,Corvallis
2019-02-09,40.61,29.47,17.37,135.97,0.0,0.34,Corvallis
2019-02-10,37.57,28.75,17.47,145.24,0.0,0.1,Corvallis
2019-02-11,45.07,36.3,18.21,68.92,0.0,0.74,Corvallis
2019-02-12,46.03,38.53,18.93,47.98,0.0,0.72,Corvallis
2019-02-13,45.28,38.6,18.99,81.88,0.0,0.06,Corvallis
2019-02-14,45.85,37.5,19.24,93.43,0.0,0.25,Corvallis
2019-02-15,47.54,38.66,19.42,121.37,0.0,0.18,Corvallis
2019-02-16,45.54,35.85,19.75,123.72,0.0,0.33,Corvallis
2019-02-17,41.09,30.99,19.75,185.06,0.0,0.0,Corvallis
2019-02-18,44.31,27.28,19.76,181.99,0.0,0.01,Corvallis
2019-02-19,43.35,35.26,19.96,93.36,0.0,0.2,Corvallis
2019-02-20,46.38,32.08,20.33,170.89,0.0,0.37,Corvallis
2019-02-21,46.94,29.5,20.33,322.87,0.0,0.0,Corvallis
2019-02-22,45.91,27.89,20.55,129.36,0.0,0.22,Corvallis
2019-02-23,45.05,34.08,20.96,85.91,0.0,0.41,Corvallis
2019-02-24,41.64,35.66,22.05,83.48,0.0,1.09,Corvallis
2019-02-25,36.4,26.67,22.5,85.76,0.0,0.45,Corvallis
2019-02-26,40.31,25.94,22.51,200.29,0.0,0.01,Corvallis
2019-02-27,36.16,25.94,22.6,183.76,0.0,0.09,Corvallis
2019-02-28,40.24,28.5,22.66,151.85,0.0,0.06,Corvallis
2019-03-01,52.53,32.09,22.67,330.28,0.0,0.01,Corvallis
2019-03-02,50.37,33.31,22.67,381.65,0.0,0.0,Corvallis
2019-03-03,46.36,28.6,22.67,390.2,0.0,0.0,Corvallis
