date,max_temp_f,min_temp_f,cum_precip_in,solar_langley,wind_speed_mph,daily_precip_in,location
2021-01-01,46.53,35.79,5.81,57.95,0.0,0.0,Hood_River
2021-01-02,56.44,40.29,5.81,35.06,0.0,0.0,Hood_River
2021-01-03,56.38,40.08,5.81,159.47,0.0,0.0,Hood_River
2021-01-04,57.57,39.84,5.9,25.79,0.0,0.09,Hood_River
2021-01-05,51.44,34.37,5.9,113.5,0.0,0.0,Hood_River
2021-01-06,55.27,39.31,5.95,38.65,0.0,0.05,Hood_River
2021-01-07,45.45,31.63,5.95,94.47,0.0,0.0,Hood_River
2021-01-08,40.37,29.19,6.14,26.3,0.0,0.19,Hood_River
2021-01-09,39.93,32.86,6.14,42.43,0.0,0.0,Hood_River
2021-01-10,43.22,30.68,6.14,72.55,0.0,0.0,Hood_River
2021-01-11,37.81,30.07,6.14,43.58,0.0,0.0,Hood_River
2021-01-12,66.36,36.71,6.16,55.26,0.0,0.02,Hood_River
2021-01-13,66.58,37.04,6.18,179.95,0.0,0.02,Hood_River
2021-01-14,48.38,29.8,6.18,143.86,0.0,0.0,Hood_River
2021-01-15,46.74,28.78,6.19,92.72,0.0,0.01,Hood_River
2021-01-16,39.64,27.82,6.19,88.13,0.0,0.0,Hood_River
2021-01-17,55.72,33.55,6.19,163.3,0.0,0.0,Hood_River
2021-01-18,50.15,27.13,6.19,185.06,0.0,0.0,Hood_River
2021-01-19,44.07,22.41,6.19,184.12,0.0,0.0,Hood_River
2021-01-20,41.35,26.85,6.19,83.65,0.0,0.0,Hood_River
2021-01-21,36.22,32.33,6.3,32.12,0.0,0.11,Hood_River
2021-01-22,38.11,27.83,6.3,67.97,0.0,0.0,Hood_River
2021-01-23,41.82,22.78,6.3,203.05,0.0,0.0,Hood_River
2021-01-24,36.67,22.77,6.33,90.79,0.0,0.03,Hood_River
2021-01-25,34.96,29.11,6.38,58.4,0.0,0.05,Hood_River
2021-01-26,42.85,28.75,6.38,178.84,0.0,0.0,Hood_River
2021-01-27,55.25,34.6,6.38,149.85,0.0,0.0,Hood_River
2021-01-28,46.73,31.51,6.38,108.58,0.0,0.0,Hood_River
2021-01-29,43.58,33.28,6.39,50.2,0.0,0.01,Hood_River
2021-01-30,58.08,31.11,6.4,161.45,0.0,0.01,Hood_River
2021-01-31,59.01,47.79,6.45,66.7,0.0,0.05,Hood_River
2021-02-01,65.93,49.83,6.46,65.39,0.0,0.01,Hood_River
2021-02-02,55.15,33.45,6.51,86.62,0.0,0.05,Hood_River
2021-02-03,46.85,33.34,6.54,104.79,0.0,0.03,Hood_River
2021-02-04,50.64,37.01,6.54,114.57,0.0,0.0,Hood_River
2021-02-05,57.99,44.44,6.54,236.64,0.0,0.0,Hood_River
2021-02-06,56.01,41.11,6.54,209.31,0.0,0.0,Hood_River
2021-02-07,51.14,39.18,6.53,236.11,0.0,6.53,Hood_River
2021-02-08,44.95,28.39,6.53,132.21,0.0,0.0,Hood_River
2021-02-09,38.17,20.94,6.53,178.85,0.0,0.0,Hood_River
2021-02-10,38.36,16.07,6.53,244.27,0.0,0.0,Hood_River
2021-02-11,28.64,18.93,6.57,76.88,0.0,0.04,Hood_River
2021-02-12,20.47,14.91,6.88,170.68,0.0,0.31,Hood_River
2021-02-13,24.18,13.99,7.21,142.01,0.0,0.33,Hood_River
2021-02-14,24.67,15.29,7.45,94.8,0.0,0.24,Hood_River
2021-02-15,32.58,19.8,7.61,99.25,0.0,0.16,Hood_River
2021-02-16,41.21,24.79,7.61,200.75,0.0,0.0,Hood_River
2021-02-17,39.29,24.89,7.61,254.14,0.0,0.0,Hood_River
2021-02-18,31.8,17.83,7.66,113.63,0.0,0.05,Hood_River
2021-02-19,45.59,26.24,7.68,203.55,0.0,0.02,Hood_River
2021-02-20,46.04,22.69,7.68,281.14,0.0,0.0,Hood_River
2021-02-21,48.09,37.01,7.68,136.37,0.0,0.0,Hood_River
2021-02-22,57.86,40.43,7.68,124.4,0.0,0.0,Hood_River
2021-02-23,50.32,36.56,7.68,244.96,0.0,0.0,Hood_River
2021-02-24,49.57,29.43,7.68,323.25,0.0,0.0,Hood_River
2021-02-25,53.57,29.76,7.69,241.96,0.0,0.01,Hood_River
2021-02-26,51.9,39.29,7.69,186.73,0.0,0.0,Hood_River
2021-02-27,51.53,33.71,7.69,229.02,0.0,0.0,Hood_River
2021-02-28,58.49,35.25,7.69,311.49,0.0,0.0,Hood_River
2021-03-01,64.64,29.33,7.69,334.51,0.0,0.0,Hood_River
2021-03-02,64.04,39.33,7.69,337.94,0.0,0.0,Hood_River
2021-03-03,63.1,32.12,7.68,343.84,0.0,7.68,Hood_River
2021-03-04,64.08,30.47,7.69,296.65,0.0,0.01,Hood_River
2021-03-05,75.04,34.97,7.69,268.25,0.0,0.0,Hood_River
2021-03-06,56.06,35.92,7.73,275.18,0.0,0.04,Hood_River
2021-03-07,55.23,31.51,7.73,290.41,0.0,0.0,Hood_River
2021-03-08,48.98,31.51,7.73,196.91,0.0,0.0,Hood_River
2021-03-09,54.73,28.48,7.73,326.5,0.0,0.0,Hood_River
2021-03-10,54.67,26.52,7.73,337.46,0.0,0.0,Hood_River
2021-03-11,58.13,27.99,7.73,387.29,0.0,0.0,Hood_River
2021-03-12,59.81,28.36,7.73,393.02,0.0,0.0,Hood_River
2021-03-13,62.37,29.07,7.73,388.7,0.0,0.0,Hood_River
2021-03-14,55.75,30.41,7.73,232.83,0.0,0.0,Hood_River
2021-03-15,46.8,36.37,7.76,154.87,0.0,0.03,Hood_River
2021-03-16,57.03,35.07,7.75,349.83,0.0,7.75,Hood_River
2021-03-17,61.64,28.76,7.76,390.88,0.0,0.01,Hood_River
2021-03-18,66.15,33.51,7.76,269.86,0.0,0.0,Hood_River
2021-03-19,62.61,42.64,7.78,390.54,0.0,0.02,Hood_River
2021-03-20,58.68,36.12,7.78,369.93,0.0,0.0,Hood_River
2021-03-21,54.44,38.94,7.77,314.7,0.0,7.77,Hood_River
2021-03-22,59.84,40.92,7.79,376.73,0.0,0.02,Hood_River
2021-03-23,58.16,32.97,7.79,448.84,0.0,0.0,Hood_River
2021-03-24,55.1,40.81,7.8,198.34,0.0,0.01,Hood_River
2021-03-25,59.38,41.7,7.8,328.04,0.0,0.0,Hood_River
2021-03-26,61.76,39.34,7.8,451.12,0.0,0.0,Hood_River
2021-03-27,68.06,40.87,7.8,454.61,0.0,0.0,Hood_River
2021-03-28,74.91,38.08,7.81,380.48,0.0,0.01,Hood_River
2021-03-29,54.06,33.79,7.81,348.65,0.0,0.0,Hood_River
2021-03-30,55.73,28.6,7.81,485.08,0.0,0.0,Hood_River
2021-03-31,66.66,27.87,7.81,488.84,0.0,0.0,Hood_River
2021-04-01,73.21,33.51,7.82,443.01,0.0,0.01,Hood_River
2021-04-02,68.63,40.85,7.81,404.51,0.0,7.81,Hood_River
2021-04-03,66.97,40.29,7.81,299.48,0.0,0.0,Hood_River
2021-04-04,64.47,41.65,7.81,321.11,0.0,0.0,Hood_River
2021-04-05,61.09,34.9,7.81,524.43,0.0,0.0,Hood_River
2021-04-06,68.57,35.89,7.81,520.29,0.0,0.0,Hood_River
2021-04-07,65.03,41.03,7.81,375.45,0.0,0.0,Hood_River
2021-04-08,58.72,39.14,7.81,498.62,0.0,0.0,Hood_River
2021-04-09,64.66,29.92,7.81,542.61,0.0,0.0,Hood_River
2021-04-10,56.06,36.1,7.81,494.5,0.0,0.0,Hood_River
2021-04-11,56.21,27.06,7.81,573.99,0.0,0.0,Hood_River
2021-04-12,62.8,24.95,7.81,570.38,0.0,0.0,Hood_River
2021-04-13,64.65,35.03,7.81,571.03,0.0,0.0,Hood_River
