date,max_temp_f,min_temp_f,cum_precip_in,solar_langley,wind_speed_mph,daily_precip_in,location
2021-01-01,38.75,24.05,5.9,158.27,0.0,0.0,Klamath_Falls
2021-01-02,37.36,26.3,5.91,91.83,0.0,0.01,Klamath_Falls
2021-01-03,45.22,33.58,5.91,94.08,0.0,0.0,Klamath_Falls
2021-01-04,43.53,30.54,6.01,47.79,0.0,0.1,Klamath_Falls
2021-01-05,40.37,24.9,6.01,175.77,0.0,0.0,Klamath_Falls
2021-01-06,42.63,29.87,6.14,69.19,0.0,0.13,Klamath_Falls
2021-01-07,41.18,23.74,6.14,158.12,0.0,0.0,Klamath_Falls
2021-01-08,39.45,23.31,6.34,173.03,0.0,0.2,Klamath_Falls
2021-01-09,36.02,21.63,6.34,155.42,0.0,0.0,Klamath_Falls
2021-01-10,41.89,25.69,6.35,217.59,0.0,0.01,Klamath_Falls
2021-01-11,35.17,27.57,6.36,107.4,0.0,0.01,Klamath_Falls
2021-01-12,47.6,32.0,6.36,64.45,0.0,0.0,Klamath_Falls
2021-01-13,54.5,30.92,6.47,236.57,0.0,0.11,Klamath_Falls
2021-01-14,53.06,27.68,6.48,239.85,0.0,0.01,Klamath_Falls
2021-01-15,44.62,25.93,6.48,115.69,0.0,0.0,Klamath_Falls
2021-01-16,38.05,27.99,6.49,68.32,0.0,0.01,Klamath_Falls
2021-01-17,47.25,26.22,6.49,159.67,0.0,0.0,Klamath_Falls
2021-01-18,47.83,22.76,6.49,258.88,0.0,0.0,Klamath_Falls
2021-01-19,46.35,21.66,6.49,260.8,0.0,0.0,Klamath_Falls
2021-01-20,45.98,16.11,6.49,250.19,0.0,0.0,Klamath_Falls
2021-01-21,45.28,26.91,6.49,150.31,0.0,0.0,Klamath_Falls
2021-01-22,39.45,25.26,6.49,152.54,0.0,0.0,Klamath_Falls
2021-01-23,42.23,18.03,6.49,272.94,0.0,0.0,Klamath_Falls
2021-01-24,32.27,17.67,6.51,88.41,0.0,0.02,Klamath_Falls
2021-01-25,32.97,14.7,6.51,267.04,0.0,0.0,Klamath_Falls
2021-01-26,30.95,8.27,6.51,109.34,0.0,0.0,Klamath_Falls
2021-01-27,42.68,26.01,6.51,307.97,0.0,0.0,Klamath_Falls
2021-01-28,41.04,22.01,6.56,165.83,0.0,0.05,Klamath_Falls
2021-01-29,39.93,23.24,6.58,193.64,0.0,0.02,Klamath_Falls
2021-01-30,44.99,29.5,6.58,177.91,0.0,0.0,Klamath_Falls
2021-01-31,45.3,32.73,6.58,159.06,0.0,0.0,Klamath_Falls
2021-02-01,50.47,35.53,6.58,239.52,0.0,0.0,Klamath_Falls
