date,max_temp_f,min_temp_f,cum_precip_in,solar_langley,wind_speed_mph,daily_precip_in,location
2016-01-01,19.62,-1.2,10.21,190.76,0.0,0.0,Ontario
2016-01-02,11.02,-6.0,10.21,193.69,0.0,0.0,Ontario
2016-01-03,26.1,7.36,10.21,107.93,0.0,0.0,Ontario
2016-01-04,30.5,18.07,10.21,144.45,0.0,0.0,Ontario
2016-01-05,33.67,21.24,10.21,124.06,0.0,0.0,Ontario
2016-01-06,36.6,28.41,10.22,137.33,0.0,0.01,Ontario
2016-01-07,37.1,32.26,10.22,100.25,0.0,0.0,Ontario
2016-01-08,34.02,21.83,10.22,156.52,0.0,0.0,Ontario
2016-01-09,33.13,19.16,10.22,176.97,0.0,0.0,Ontario
2016-01-10,29.64,12.97,10.22,166.62,0.0,0.0,Ontario
2016-01-11,32.41,24.44,10.22,86.77,0.0,0.0,Ontario
2016-01-12,35.66,23.82,10.22,154.68,0.0,0.0,Ontario
2016-01-13,33.86,29.95,10.23,83.77,0.0,0.01,Ontario
2016-01-14,42.33,27.67,10.36,186.27,0.0,0.13,Ontario
2016-01-15,38.74,23.46,10.43,196.9,0.0,0.07,Ontario
2016-01-16,35.33,25.58,10.59,90.59,0.0,0.16,Ontario
2016-01-17,34.22,31.4,10.62,82.67,0.0,0.03,Ontario
2016-01-18,39.5,31.34,10.63,188.4,0.0,0.01,Ontario
2016-01-19,41.89,31.27,10.72,60.87,0.0,0.09,Ontario
2016-01-20,43.92,32.92,10.72,211.6,0.0,0.0,Ontario
2016-01-21,42.11,33.17,10.72,119.63,0.0,0.0,Ontario
2016-01-22,41.63,33.23,10.72,60.08,0.0,0.0,Ontario
2016-01-23,46.02,33.3,10.72,156.74,0.0,0.0,Ontario
2016-01-24,47.91,31.14,10.72,239.46,0.0,0.0,Ontario
2016-01-25,43.15,25.77,10.72,190.76,0.0,0.0,Ontario
2016-01-26,43.4,24.97,10.72,244.1,0.0,0.0,Ontario
2016-01-27,40.82,25.65,10.72,180.73,0.0,0.0,Ontario
2016-01-28,35.39,26.14,10.99,86.92,0.0,0.27,Ontario
2016-01-29,36.37,30.8,11.15,66.69,0.0,0.16,Ontario
2016-01-30,33.84,23.86,11.16,229.97,0.0,0.01,Ontario
2016-01-31,36.18,17.43,11.16,272.46,0.0,0.0,Ontario
2016-02-01,39.85,26.14,11.16,273.96,0.0,0.0,Ontario
2016-02-02,37.28,20.69,11.16,271.6,0.0,0.0,Ontario
2016-02-03,38.82,19.47,11.18,251.42,0.0,0.02,Ontario
2016-02-04,33.41,28.23,11.19,146.05,0.0,0.01,Ontario
2016-02-05,32.32,24.23,11.19,135.84,0.0,0.0,Ontario
2016-02-06,39.36,29.03,11.19,174.13,0.0,0.0,Ontario
2016-02-07,45.48,25.64,11.19,283.16,0.0,0.0,Ontario
2016-02-08,43.69,26.75,11.19,229.09,0.0,0.0,Ontario
2016-02-09,36.92,29.57,11.19,93.01,0.0,0.0,Ontario
2016-02-10,41.73,30.41,11.2,202.23,0.0,0.01,Ontario
2016-02-11,44.11,31.4,11.2,167.65,0.0,0.0,Ontario
2016-02-12,44.44,26.57,11.2,188.13,0.0,0.0,Ontario
2016-02-13,53.43,29.68,11.2,294.91,0.0,0.0,Ontario
2016-02-14,50.37,38.19,11.27,144.55,0.0,0.07,Ontario
2016-02-15,61.92,36.77,11.27,210.49,0.0,0.0,Ontario
2016-02-16,56.26,33.83,11.27,211.1,0.0,0.0,Ontario
2016-02-17,56.41,36.77,11.27,117.67,0.0,0.0,Ontario
2016-02-18,57.21,42.82,11.29,182.92,0.0,0.02,Ontario
2016-02-19,58.04,37.55,11.31,181.86,0.0,0.02,Ontario
2016-02-20,50.71,32.12,11.31,342.19,0.0,0.0,Ontario
2016-02-21,50.35,27.71,11.31,265.38,0.0,0.0,Ontario
2016-02-22,52.25,31.56,11.31,364.14,0.0,0.0,Ontario
2016-02-23,52.13,25.71,11.31,368.91,0.0,0.0,Ontario
2016-02-24,53.9,27.23,11.31,342.34,0.0,0.0,Ontario
2016-02-25,54.91,26.01,11.31,367.83,0.0,0.0,Ontario
2016-02-26,56.36,27.83,11.33,310.33,0.0,0.02,Ontario
2016-02-27,59.82,38.46,11.4,223.55,0.0,0.07,Ontario
2016-02-28,54.4,29.9,11.4,208.86,0.0,0.0,Ontario
2016-02-29,56.22,29.17,11.4,377.24,0.0,0.0,Ontario
2016-03-01,60.55,41.59,11.4,195.21,0.0,0.0,Ontario
2016-03-02,59.08,31.86,11.4,330.96,0.0,0.0,Ontario
2016-03-03,61.35,35.45,11.4,220.79,0.0,0.0,Ontario
2016-03-04,63.83,32.11,11.42,356.15,0.0,0.02,Ontario
2016-03-05,63.78,45.44,11.42,176.69,0.0,0.0,Ontario
2016-03-06,59.51,35.57,11.43,228.35,0.0,0.01,Ontario
2016-03-07,53.01,32.95,11.43,265.76,0.0,0.0,Ontario
2016-03-08,54.05,32.65,11.43,323.2,0.0,0.0,Ontario
2016-03-09,53.41,34.2,11.48,186.96,0.0,0.05,Ontario
2016-03-10,61.47,46.41,11.49,100.14,0.0,0.01,Ontario
2016-03-11,56.22,42.33,11.69,110.29,0.0,0.2,Ontario
2016-03-12,57.98,42.39,11.71,283.78,0.0,0.02,Ontario
2016-03-13,60.0,41.16,11.96,170.65,0.0,0.25,Ontario
2016-03-14,52.67,35.4,11.96,411.07,0.0,0.0,Ontario
2016-03-15,48.18,33.34,11.98,258.9,0.0,0.02,Ontario
2016-03-16,51.69,35.98,11.98,275.13,0.0,0.0,Ontario
2016-03-17,53.46,32.05,11.98,467.61,0.0,0.0,Ontario
2016-03-18,55.83,27.34,11.98,475.09,0.0,0.0,Ontario
2016-03-19,59.48,33.22,11.98,460.22,0.0,0.0,Ontario
2016-03-20,67.67,32.79,11.98,397.54,0.0,0.0,Ontario
2016-03-21,63.77,39.19,12.08,390.92,0.0,0.1,Ontario
2016-03-22,54.93,37.36,12.08,439.96,0.0,0.0,Ontario
2016-03-23,60.09,34.32,12.08,461.49,0.0,0.0,Ontario
2016-03-24,57.86,39.91,12.08,307.91,0.0,0.0,Ontario
2016-03-25,53.9,33.8,12.08,329.45,0.0,0.0,Ontario
2016-03-26,53.16,25.99,12.08,412.32,0.0,0.0,Ontario
2016-03-27,55.65,34.9,12.08,206.57,0.0,0.0,Ontario
2016-03-28,55.11,30.46,12.08,551.19,0.0,0.0,Ontario
2016-03-29,60.49,38.42,12.08,473.63,0.0,0.0,Ontario
2016-03-30,67.35,39.38,12.08,554.65,0.0,0.0,Ontario
2016-03-31,70.54,42.99,12.08,546.26,0.0,0.0,Ontario
2016-04-01,69.83,36.8,12.08,560.59,0.0,0.0,Ontario
2016-04-02,73.92,36.68,12.08,562.48,0.0,0.0,Ontario
2016-04-03,76.22,44.32,12.08,554.18,0.0,0.0,Ontario
2016-04-04,63.4,39.04,12.08,356.14,0.0,0.0,Ontario
2016-04-05,61.62,37.22,12.08,566.26,0.0,0.0,Ontario
2016-04-06,71.33,33.94,12.08,582.8,0.0,0.0,Ontario
2016-04-07,77.01,38.14,12.08,597.4,0.0,0.0,Ontario
2016-04-08,80.6,41.07,12.09,548.23,0.0,0.01,Ontario
2016-04-09,82.3,42.29,12.09,599.48,0.0,0.0,Ontario
2016-04-10,78.31,47.64,12.09,606.47,0.0,0.0,Ontario
2016-04-11,77.79,47.34,12.09,604.47,0.0,0.0,Ontario
2016-04-12,61.93,45.09,12.14,234.46,0.0,0.05,Ontario
2016-04-13,63.73,41.38,12.37,501.98,0.0,0.23,Ontario
2016-04-14,56.2,42.6,12.38,287.41,0.0,0.01,Ontario
2016-04-15,60.06,39.56,12.38,522.55,0.0,0.0,Ontario
2016-04-16,69.1,36.51,12.4,638.39,0.0,0.02,Ontario
2016-04-17,71.7,37.35,12.4,646.36,0.0,0.0,Ontario
2016-04-18,75.53,38.2,12.39,659.21,0.0,12.39,Ontario
2016-04-19,81.2,36.23,12.39,667.55,0.0,0.0,Ontario
2016-04-20,81.3,43.37,12.39,652.09,0.0,0.0,Ontario
2016-04-21,83.9,44.54,12.39,613.1,0.0,0.0,Ontario
2016-04-22,74.57,52.82,12.4,320.34,0.0,0.01,Ontario
2016-04-23,58.25,46.69,12.8,232.6,0.0,0.4,Ontario
2016-04-24,62.71,40.67,12.8,506.93,0.0,0.0,Ontario
2016-04-25,62.79,44.57,12.8,517.07,0.0,0.0,Ontario
2016-04-26,69.19,43.71,12.81,674.1,0.0,0.01,Ontario
2016-04-27,62.63,47.85,12.81,453.38,0.0,0.0,Ontario
2016-04-28,69.47,47.79,12.81,650.61,0.0,0.0,Ontario
2016-04-29,62.91,45.21,12.81,516.05,0.0,0.0,Ontario
2016-04-30,68.21,47.27,12.81,673.22,0.0,0.0,Ontario
2016-05-01,73.33,41.27,12.81,693.65,0.0,0.0,Ontario
2016-05-02,77.31,42.88,12.81,700.07,0.0,0.0,Ontario
2016-05-03,82.4,43.56,12.81,695.77,0.0,0.0,Ontario
2016-05-04,80.7,50.03,12.81,483.28,0.0,0.0,Ontario
2016-05-05,81.1,52.03,12.81,503.6,0.0,0.0,Ontario
2016-05-06,78.12,58.89,12.81,443.03,0.0,0.0,Ontario
2016-05-07,78.74,51.79,12.91,616.57,0.0,0.1,Ontario
2016-05-08,81.7,57.0,12.94,642.28,0.0,0.03,Ontario
2016-05-09,63.49,42.98,12.93,655.39,0.0,12.93,Ontario
2016-05-10,69.03,43.34,12.93,680.5,0.0,0.0,Ontario
2016-05-11,72.12,37.88,12.94,702.36,0.0,0.01,Ontario
2016-05-12,84.6,40.64,12.94,668.72,0.0,0.0,Ontario
2016-05-13,84.1,47.76,12.94,637.64,0.0,0.0,Ontario
