date,max_temp_f,min_temp_f,cum_precip_in,solar_langley,wind_speed_mph,daily_precip_in,location
2020-01-01,53.48,45.7,0.48,38.18,0.0,0.0,Pendleton
2020-01-02,47.42,41.28,0.5,73.94,0.0,0.02,Pendleton
2020-01-03,50.38,33.89,0.5,121.48,0.0,0.0,Pendleton
2020-01-04,49.71,36.2,0.52,145.64,0.0,0.02,Pendleton
2020-01-05,43.81,34.07,0.78,48.7,0.0,0.26,Pendleton
2020-01-06,57.24,38.33,1.09,90.51,0.0,0.31,Pendleton
2020-01-07,51.95,40.49,1.23,77.22,0.0,0.14,Pendleton
2020-01-08,46.82,33.77,1.73,99.51,0.0,0.5,Pendleton
2020-01-09,41.58,26.93,1.74,106.26,0.0,0.01,Pendleton
2020-01-10,38.55,30.95,2.28,30.71,0.0,0.54,Pendleton
2020-01-11,46.67,37.72,2.44,110.54,0.0,0.16,Pendleton
2020-01-12,42.35,32.75,3.0,36.43,0.0,0.56,Pendleton
2020-01-13,38.54,32.63,3.21,57.03,0.0,0.21,Pendleton
2020-01-14,37.08,22.93,3.37,55.88,0.0,0.16,Pendleton
2020-01-15,28.19,14.2,3.37,38.0,0.0,0.0,Pendleton
2020-01-16,35.16,23.12,3.5,77.99,0.0,0.13,Pendleton
2020-01-17,34.77,19.97,3.52,95.29,0.0,0.02,Pendleton
2020-01-18,37.44,29.92,3.77,60.42,0.0,0.25,Pendleton
2020-01-19,40.65,31.56,3.78,72.21,0.0,0.01,Pendleton
2020-01-20,41.13,33.49,3.78,76.7,0.0,0.0,Pendleton
2020-01-21,42.14,33.73,3.95,93.14,0.0,0.17,Pendleton
2020-01-22,42.77,35.25,4.44,49.79,0.0,0.49,Pendleton
2020-01-23,45.0,37.9,4.75,38.76,0.0,0.31,Pendleton
2020-01-24,52.51,37.84,4.76,114.81,0.0,0.01,Pendleton
2020-01-25,54.24,40.01,4.96,169.19,0.0,0.2,Pendleton
2020-01-26,53.1,40.37,5.32,144.15,0.0,0.36,Pendleton
2020-01-27,45.12,35.96,6.17,59.78,0.0,0.85,Pendleton
2020-01-28,49.01,36.81,6.41,127.78,0.0,0.24,Pendleton
2020-01-29,46.4,36.2,6.57,58.46,0.0,0.16,Pendleton
