date,max_temp_f,min_temp_f,cum_precip_in,solar_langley,wind_speed_mph,daily_precip_in,location
2024-01-01,38.92,35.84,7.73,20.88,0.0,0.0,Hermiston
2024-01-02,38.16,34.96,7.96,24.31,0.0,0.23,Hermiston
2024-01-03,41.96,31.19,8.17,45.15,0.0,0.21,Hermiston
2024-01-04,47.82,32.05,8.2,60.07,0.0,0.03,Hermiston
2024-01-05,49.59,35.35,8.2,92.51,0.0,0.0,Hermiston
2024-01-06,45.29,35.02,8.2,71.63,0.0,0.0,Hermiston
2024-01-07,46.03,27.89,8.2,104.5,0.0,0.0,Hermiston
2024-01-08,40.71,24.61,8.37,44.69,0.0,0.17,Hermiston
2024-01-09,48.5,34.12,8.38,91.42,0.0,0.01,Hermiston
2024-01-10,41.88,31.92,8.48,98.39,0.0,0.1,Hermiston
2024-01-11,46.62,19.87,8.48,130.98,0.0,0.0,Hermiston
2024-01-12,20.49,7.68,8.48,47.1,0.0,0.0,Hermiston
2024-01-13,8.3,2.97,8.56,38.22,0.0,0.08,Hermiston
2024-01-14,13.05,-5.22,8.56,101.85,0.0,0.0,Hermiston
2024-01-15,14.64,-6.78,8.56,155.84,0.0,0.0,Hermiston
2024-01-16,12.5,-5.55,8.62,150.79,0.0,0.06,Hermiston
2024-01-17,23.06,10.59,8.63,74.78,0.0,0.01,Hermiston
2024-01-18,24.48,20.15,8.99,71.39,0.0,0.36,Hermiston
2024-01-19,28.93,22.7,9.05,85.14,0.0,0.06,Hermiston
2024-01-20,29.83,24.13,9.05,107.25,0.0,0.0,Hermiston
2024-01-21,32.11,25.82,9.15,100.34,0.0,0.1,Hermiston
2024-01-22,36.25,30.82,9.27,107.68,0.0,0.12,Hermiston
2024-01-23,44.29,26.6,9.29,170.88,0.0,0.02,Hermiston
2024-01-24,33.79,27.57,9.38,109.43,0.0,0.09,Hermiston
2024-01-25,31.63,27.07,9.38,101.14,0.0,0.0,Hermiston
2024-01-26,33.44,27.25,9.47,108.39,0.0,0.09,Hermiston
2024-01-27,37.83,32.07,9.6,107.17,0.0,0.13,Hermiston
2024-01-28,42.33,31.98,9.61,144.1,0.0,0.01,Hermiston
2024-01-29,37.6,31.84,9.61,65.62,0.0,0.0,Hermiston
2024-01-30,38.45,33.94,9.61,50.13,0.0,0.0,Hermiston
2024-01-31,49.74,34.67,9.74,29.53,0.0,0.13,Hermiston
2024-02-01,48.1,37.68,9.77,48.21,0.0,0.03,Hermiston
2024-02-02,48.51,33.3,9.78,118.78,0.0,0.01,Hermiston
2024-02-03,50.94,29.78,9.78,107.85,0.0,0.0,Hermiston
2024-02-04,50.88,29.0,9.78,181.93,0.0,0.0,Hermiston
2024-02-05,50.24,38.96,9.81,101.85,0.0,0.03,Hermiston
2024-02-06,51.9,36.97,9.81,148.3,0.0,0.0,Hermiston
2024-02-07,50.1,33.65,9.81,137.2,0.0,0.0,Hermiston
2024-02-08,51.76,32.15,9.81,130.15,0.0,0.0,Hermiston
2024-02-09,50.7,31.0,9.82,180.95,0.0,0.01,Hermiston
