OPENET_ID,Acres,ACRES_FTR_GEOM,HUC8_name,HUC8,GRIDMET_ID,HUC12_name,HUC12,OWRD,Region,ITYPE,srctype,IRR_EFF
ORx_158886,10.45081261784711,10.4548335,Lost,18010204,571109,Swan Lake,180102040804,14,18.0,2.0,1.0,0.75
ORx_158874,58.86802517157174,58.77717779,Lost,18010204,571109,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158875,4.67415614827342,4.676014057,Lost,18010204,571109,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158880,5.486828057697954,5.753018115,Lost,18010204,571109,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158876,94.62895583249026,94.46386775,Lost,18010204,571109,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158877,11.084850680084545,11.04534349,Lost,18010204,571109,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158857,150.66416767090487,150.4265008,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158858,15.025607400175824,14.99711221,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158856,68.09289265432304,67.98141539,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,2.0,1.0,0.75
ORx_158866,92.727848327474,92.6233071,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,2.0,1.0,0.75
ORx_158867,64.74008700017637,64.61965992,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,2.0,1.0,0.75
ORx_158921,8.916608877241028,8.896727359,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,3.0,1.0,0.5
ORx_158865,19.84656532521777,19.80741424,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158864,70.60526109936143,70.47182354,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158859,126.98792582746468,126.7831893,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158855,39.75209241946691,39.65482625,Lost,18010204,571108,Swan Lake,180102040804,14,18.0,2.0,1.0,0.75
ORx_158881,63.81365220277784,63.70791641,Lost,18010204,572495,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158863,34.86830964072719,34.80970352,Lost,18010204,572494,Swan Lake,180102040804,14,18.0,4.0,1.0,0.65
