id,type,prop_siteid,prop_title,prop_state,latitude,longitude,geometry_type,geometry_coordinates_raw,prop_description,prop_elevation,prop_elevationUnits,prop_install,prop_program,prop_responsibility,prop_type,prop_url,Nearest_City_1,Distance_City_1_mi,Nearest_City_2,Distance_City_2_mi,county_name,county_state,county_fips
2,Feature,abpo,"Awbrey Park, Oregon Agrimet All-In-One Sensor",OR,44.0680907,-121.3255932,Point,"[-121.3255932, 44.0680907]","Awbrey Park, Oregon Agrimet All-In-One Sensor",1157.0,,2026-01-13,agrimet,pnro,agrimet,abpoda.html,"Bend, OR",2.33,"Redmond, OR",15.94,Deschutes,OR,41017
3,Feature,abro,"Awbrey Park, Oregon AgriMet Weather Station",OR,44.0680907,-121.3255932,Point,"[-121.3255932, 44.0680907]","Awbrey Park, Oregon AgriMet Weather Station",1157.0,,2026-01-13,agrimet,pnro,agrimet,abroda.html,"Bend, OR",2.33,"Redmond, OR",15.94,Deschutes,OR,41017
6,Feature,agko,"Agency Lake Ranch, Oregon AgriMet Weather Station",OR,42.565482,-121.979792,Point,"[-121.979792, 42.565482]","Agency Lake Ranch, Oregon AgriMet Weather Station",1264.92,m,5/3/2000,agrimet,pnro,agrimet,agkoda.html,"Fort Klamath, OR",9.7,"Chiloquin, OR",11.98,Klamath,OR,41035
8,Feature,amto,"Amity, Oregon Weather Station",OR,45.0863382,-123.243972,Point,"[-123.243972, 45.0863382]","Amity, Oregon Weather Station",165.0,,2/22/2024,agrimet,pnro,agrimet,amtoda.html,"Amity, OR",3.96,"Rickreall, OR",4.94,Yamhill,OR,41071
10,Feature,arao,"Aurora, Oregon AgriMet Weather Station",OR,45.282012,-122.751443,Point,"[-122.751443, 45.282012]","Aurora, Oregon AgriMet Weather Station",42.67,m,10/22/1998,agrimet,pnro,agrimet,araoda.html,"Wilsonville, OR",1.46,"Canby, OR",3.94,Clackamas,OR,41005
11,Feature,asho,"Ashland, Oregon AgriMet Weather Station",OR,42.2171062,-122.7097626,Point,"[-122.7097626, 42.2171062]","Ashland, Oregon AgriMet Weather Station",1833.0,,3/13/2024,agrimet,pnro,agrimet,ashoda.html,"Ashland, OR",2.16,"Talent, OR",4.11,Jackson,OR,41029
12,Feature,asto,"Astoria, Oregon Weather Station",OR,46.13138,-123.85901,Point,"[-123.85901, 46.13138]","Astoria, Oregon Weather Station",161.0,,2/20/2024,agrimet,pnro,agrimet,astoda.html,"Warrenton, OR",3.33,"Astoria, OR",3.38,Clatsop,OR,41007
13,Feature,bano,"Bandon, Oregon AgriMet Weather Station",OR,43.090788,-124.41722,Point,"[-124.41722, 43.090788]","Bandon, Oregon AgriMet Weather Station",24.38,m,5/15/1985,agrimet,pnro,agrimet,banoda.html,"Bandon, OR",0.8,"Langlois, OR",12.24,Coos,OR,41011
14,Feature,bato,"Beatty, Oregon AgriMet Weather Station",OR,42.47805,-121.27388,Point,"[-121.27388, 42.47805]","Beatty, Oregon AgriMet Weather Station",1316.74,m,10/19/2004,agrimet,pnro,agrimet,batoda.html,"Beatty, OR",3.96,"Sprague River, OR",11.74,Klamath,OR,41035
15,Feature,bewo,"Bend, Oregon AgriMet Weather Station",OR,44.04755,-121.320127,Point,"[-121.320127, 44.04755]","Bend, Oregon AgriMet Weather Station",1103.38,m,5/1/2003,agrimet,pnro,agrimet,bewoda.html,"Bend, OR",3.4,"Redmond, OR",17.14,Deschutes,OR,41017
