Crop,Group,Field Count
Shrubland,Rangeland,859
Winter Wheat,Grain,716
Grassland/Pasture,Pasture/Range,646
Alfalfa,Hay/Forage,592
Fallow/Idle Cropland,Fallow,569
Corn,Row Crop,377
Developed/Open Space,Developed,285
Potatoes,Row Crop,197
Developed/Low Intensity,Developed,96
Apples,Tree Fruit,75
Onions,Vegetable,71
Grapes,Vineyard,71
Sod/Grass Seed,Hay/Forage,40
Sweet Corn,Row Crop,40
Spring Wheat,Grain,40
Evergreen Forest,Forest,38
Herbaceous Wetlands,Wetland,28
Triticale,Grain,19
Oats,Grain,16
Cherries,Tree Fruit,15
Mint,Specialty,15
Barley,Grain,14
Almonds,Tree Nut,13
Developed/High Intensity,Developed,12
Dry Beans,Row Crop,12
Other Crops,Other Crop,12
Other Hay/Non Alfalfa,Hay/Forage,10
Camelina,Row Crop,8
Blueberries,Berry,8
Developed/Med Intensity,Developed,8
Mustard,Row Crop,6
Barren,Barren,5
Canola,Row Crop,5
Buckwheat,Grain,5
Carrots,Vegetable,4
Watermelons,Vegetable,4
Dbl Crop Triticale/Corn,Double Crop,3
Open Water,Water,3
Gourds,Vegetable,2
Strawberries,Berry,1
Peas,Row Crop,1
Herbs,Specialty,1
Woody Wetlands,Wetland,1
